Health Level,Admin 1,Admin 2,Level,Facility,UID,Facility Type,Link,Match,Latitude,Longitude
Health Facility,Azad Kashmir,Bagh,4,Birpani,2-inv,Bhu,14997-fac2,Birpani,34.05745139,73.7585987
Health Facility,Azad Kashmir,Bhimber,4,Chowki,3-inv,Bhu,15099-fac2,Chowki,33.12250149,74.08046704
Health Facility,Azad Kashmir,Bhimber,4,Dhulli,4-inv,Bhu,0-x,District,33.01625,74.14775
Health Facility,Azad Kashmir,Bhimber,4,Jhaglari,6-inv,Bhu,0-x,District,33.01625,74.14775
Health Facility,Azad Kashmir,Bhimber,4,Khawaja Ratnoi,8-inv,Bhu,0-x,District,33.01625,74.14775
Health Facility,Azad Kashmir,Bhimber,4,Khorl Abbasian,9-inv,Bhu,0-x,District,33.01625,74.14775
Health Facility,Azad Kashmir,Bhimber,4,Khorl Meldialin,10-inv,Bhu,0-x,District,33.01625,74.14775
Health Facility,Azad Kashmir,Bhimber,4,Kot,12-inv,Bhu,15050-fac2,Kot Jamel,32.84785553,74.31260027
Health Facility,Azad Kashmir,Bhimber,4,Neela Butt,13-inv,Bhu,0-x,District,33.01625,74.14775
Health Facility,Azad Kashmir,Bhimber,4,Rangla,14-inv,Bhu,15094-fac2,Bandala,33.06267051,74.18010479
Health Facility,Azad Kashmir,Bhimber,4,Rera,15-inv,Bhu,15095-fac2,Govt. Health Centre Samahni,33.09084138,74.13141293
Health Facility,Azad Kashmir,Bhimber,4,Sahlian,18-inv,Bhu,15096-fac2,Kahawalian,33.04305886,74.22279435
Health Facility,Azad Kashmir,Bhimber,4,Sari Pirain,19-inv,Bhu,0-x,District,33.01625,74.14775
Health Facility,Azad Kashmir,Bhimber,4,Sirsyedan,20-inv,Bhu,0-x,District,33.01625,74.14775
Health Facility,Azad Kashmir,Bhimber,4,Sohawa Shreef,21-inv,Bhu,0-x,District,33.01625,74.14775
Health Facility,Azad Kashmir,Bhimber,4,Thub,23-inv,Bhu,15054-fac2,Thub,32.97306167,74.28276143
Health Facility,Azad Kashmir,Bhimber,4,Bani Pasari,25-inv,Cd,0-x,District,33.01625,74.14775
Health Facility,Azad Kashmir,Bhimber,4,Hill Hosp,27-inv,Cd,15071-fac2,Civil Hospital,32.97377131,74.08077167
Health Facility,Azad Kashmir,Bhimber,4,Hq Bagh,30-inv,Cd,15072-fac2,Dispansary Bagh,32.96820737,74.11009263
Health Facility,Azad Kashmir,Bhimber,4,Naryola,31-inv,Cd,15111-fac2,Veterinary Hospital Jandala,33.14101767,74.00004403
Health Facility,Azad Kashmir,Bhimber,4,Sangher Bathara,32-inv,Cd,0-x,District,33.01625,74.14775
Health Facility,Azad Kashmir,Bhimber,4,Bagh,33-inv,Dhq Hosp,15072-fac2,Dispansary Bagh,32.96820737,74.11009263
Health Facility,Azad Kashmir,Bhimber,4,Harri Ghal,35-inv,Epi Center,0-x,District,33.01625,74.14775
Health Facility,Azad Kashmir,Bhimber,4,Fad Dhak Padder,36-inv,x,0-x,District,33.01625,74.14775
Health Facility,Azad Kashmir,Bhimber,4,Sallyna Mddila,37-inv,Fap,0-x,District,33.01625,74.14775
Health Facility,Azad Kashmir,Bhimber,4,Natra Kot,38-inv,Fap,0-x,District,33.01625,74.14775
Health Facility,Azad Kashmir,Bhimber,4,Chittra Topi,39-inv,Rhc,0-x,District,33.01625,74.14775
Health Facility,Azad Kashmir,Bhimber,4,Chtter Noz,40-inv,Rhc,0-x,District,33.01625,74.14775
Health Facility,Azad Kashmir,Bhimber,4,Arja,41-inv,Rhc,15042-fac2,Baja Theli,32.84884143,74.2769598
Health Facility,Azad Kashmir,Bhimber,4,Ghazi Abad,42-inv,Rhc,0-x,District,33.01625,74.14775
Health Facility,Azad Kashmir,Bhimber,4,Kafal Garh,44-inv,Rhc,0-x,District,33.01625,74.14775
Health Facility,Azad Kashmir,Bhimber,4,Mallot,45-inv,Rhc,15057-fac2,Malote,32.96608984,74.18691201
Health Facility,Azad Kashmir,Bhimber,4,Sessar,47-inv,Rhc,15072-fac2,Dispansary Bagh,32.96820737,74.11009263
Health Facility,Azad Kashmir,Bhimber,4,Tehsil Store Harri Ghal,49-inv,x,0-x,District,33.01625,74.14775
Health Facility,Azad Kashmir,Bhimber,4,Dhirkot,52-inv,Thq,0-x,District,33.01625,74.14775
Health Facility,Azad Kashmir,Bhimber,4,Dhirkot Store,54-inv,Thq,0-x,District,33.01625,74.14775
District,Azad Kashmir,Bhimber,3,Bagh,57-inv,District Store,15072-fac2,Dispansary Bagh,32.96820737,74.11009263
Health Facility,Azad Kashmir,Bhimber,4,Cheez,76-inv,Bhu,15048-fac2,Govt.Hospital Chaneer,32.82437871,74.33661849
Health Facility,Azad Kashmir,Hattian Bala,4,Baba Sheel Shadi,77-inv,Bhu,0-x,District,34.17,73.743
Health Facility,Azad Kashmir,Hattian Bala,4,Banin,79-inv,Bhu,15125-fac2,Bani Ungrial,34.11432752,73.75663059
Health Facility,Azad Kashmir,Hattian Bala,4,Barhing,81-inv,Bhu,15125-fac2,Bani Ungrial,34.11432752,73.75663059
Health Facility,Azad Kashmir,Hattian Bala,4,Barnala,83-inv,Bhu,15125-fac2,Bani Ungrial,34.11432752,73.75663059
Health Facility,Azad Kashmir,Hattian Bala,4,Bhmawa,84-inv,Bhu,0-x,District,34.17,73.743
Health Facility,Azad Kashmir,Hattian Bala,4,Binali,86-inv,Bhu,15125-fac2,Bani Ungrial,34.11432752,73.75663059
Health Facility,Azad Kashmir,Hattian Bala,4,Channi Thothal,87-inv,Bhu,0-x,District,34.17,73.743
Health Facility,Azad Kashmir,Hattian Bala,4,Dabb,91-inv,Bhu,15142-fac2,Hattian Dupatta,34.17260723,73.74272966
Health Facility,Azad Kashmir,Hattian Bala,4,Gora Nakka,92-inv,Bhu,0-x,District,34.17,73.743
Health Facility,Azad Kashmir,Hattian Bala,4,Jandala,93-inv,Bhu,74-fac1,Bandi Bala,0,0
Health Facility,Azad Kashmir,Hattian Bala,4,Kalri,97-inv,Bhu,15119-fac2,Kunda Shakrian,34.18626859,73.64842541
Health Facility,Azad Kashmir,Hattian Bala,4,Kherowal,98-inv,Bhu,0-x,District,34.17,73.743
Health Facility,Azad Kashmir,Hattian Bala,4,Kot Jamal,99-inv,Bhu,0-x,District,34.17,73.743
Health Facility,Azad Kashmir,Hattian Bala,4,Malot,100-inv,Bhu,90-fac1,Chakothi,34.118507,73.798249
Health Facility,Azad Kashmir,Hattian Bala,4,Mughloora,101-inv,Bhu,0-x,District,34.17,73.743
Health Facility,Azad Kashmir,Hattian Bala,4,Nali,102-inv,Bhu,15120-fac2,Noon Bagla,34.12783315,73.66593437
Health Facility,Azad Kashmir,Hattian Bala,4,Pindi Jhunja,103-inv,Bhu,0-x,District,34.17,73.743
Health Facility,Azad Kashmir,Hattian Bala,4,Poona,104-inv,Bhu,15120-fac2,Noon Bagla,34.12783315,73.66593437
Health Facility,Azad Kashmir,Hattian Bala,4,Sokasan,106-inv,Bhu,0-x,District,34.17,73.743
Health Facility,Azad Kashmir,Hattian Bala,4,Fakroot,108-inv,Cd,0-x,District,34.17,73.743
Health Facility,Azad Kashmir,Hattian Bala,4,Kadyala,109-inv,Cd,74-fac1,Bandi Bala,0,0
Health Facility,Azad Kashmir,Hattian Bala,4,Kalwal,110-inv,Cd,15138-fac2,Khalana,34.07043427,73.88489462
Health Facility,Azad Kashmir,Hattian Bala,4,Kanjloor,111-inv,Cd,0-x,District,34.17,73.743
Health Facility,Azad Kashmir,Hattian Bala,4,Khadora,113-inv,Cd,15119-fac2,Kunda Shakrian,34.18626859,73.64842541
Health Facility,Azad Kashmir,Hattian Bala,4,Khamba,114-inv,Cd,15137-fac2,Chakhama,34.17693036,73.87459338
Health Facility,Azad Kashmir,Hattian Bala,4,Panjairri,115-inv,Cd,0-x,District,34.17,73.743
Health Facility,Azad Kashmir,Hattian Bala,4,Sanghar,116-inv,Cd,0-x,District,34.17,73.743
Health Facility,Azad Kashmir,Hattian Bala,4,Thathi,117-inv,Cd,15129-fac2,Chokothi,34.11632122,73.8811581
Health Facility,Azad Kashmir,Hattian Bala,4,Dho Bhimber Epi Center,118-inv,x,0-x,District,34.17,73.743
Health Facility,Azad Kashmir,Hattian Bala,4,District Hosp Bhimber,122-inv,x,0-x,District,34.17,73.743
Health Facility,Azad Kashmir,Hattian Bala,4,Baboot Epi Center,123-inv,Fap,0-x,District,34.17,73.743
Health Facility,Azad Kashmir,Hattian Bala,4,Chandi Chowk,124-inv,Fap,0-x,District,34.17,73.743
Health Facility,Azad Kashmir,Hattian Bala,4,Danna Epi Center,125-inv,Fap,0-x,District,34.17,73.743
Health Facility,Azad Kashmir,Hattian Bala,4,Dhandar Kot,126-inv,Fap,0-x,District,34.17,73.743
Health Facility,Azad Kashmir,Hattian Bala,4,Kalich,128-inv,Fap,0-x,District,34.17,73.743
Health Facility,Azad Kashmir,Hattian Bala,4,Mathala,129-inv,Fap,0-x,District,34.17,73.743
Health Facility,Azad Kashmir,Hattian Bala,4,Mohra Sada,130-inv,Fap,0-x,District,34.17,73.743
Health Facility,Azad Kashmir,Hattian Bala,4,Thub Epi Center,131-inv,Fap,0-x,District,34.17,73.743
Health Facility,Azad Kashmir,Hattian Bala,4,Barnala,132-inv,Rhc,15125-fac2,Bani Ungrial,34.11432752,73.75663059
Health Facility,Azad Kashmir,Hattian Bala,4,Panjairri,134-inv,Rhc,0-x,District,34.17,73.743
Health Facility,Azad Kashmir,Hattian Bala,4,Tehsil Epi Store Mc,135-inv,x,0-x,District,34.17,73.743
Health Facility,Azad Kashmir,Hattian Bala,4,Tehsil Store Epi Samahni,136-inv,x,0-x,District,34.17,73.743
Health Facility,Azad Kashmir,Hattian Bala,4,Epi Center Samahni,138-inv,Thq,0-x,District,34.17,73.743
District,Azad Kashmir,Hattian Bala,3,Bhimber,139-inv,District Store,0-x,District,34.17,73.743
Health Facility,Azad Kashmir,Hattian Bala,4,Bana Mulla,155-inv,Bhu,64-fac1,Banamulla,34.240366,73.824027
Health Facility,Azad Kashmir,Haveli,4,Chakhama,157-inv,Bhu,0-x,District,33.885,74.105
Health Facility,Azad Kashmir,Haveli,4,Chinari,159-inv,Bhu,15164-fac2,Chiri Kot,33.82693916,74.03815356
Health Facility,Azad Kashmir,Haveli,4,Gandi Garan,160-inv,Bhu,0-x,District,33.885,74.105
Health Facility,Azad Kashmir,Haveli,4,Khaliana,161-inv,Bhu,0-x,District,33.885,74.105
Health Facility,Azad Kashmir,Haveli,4,Nokot,162-inv,Bhu,15159-fac2,Noor Pur,33.86372129,74.02234958
Health Facility,Azad Kashmir,Haveli,4,Sana Damian,164-inv,Bhu,0-x,District,33.885,74.105
Health Facility,Azad Kashmir,Haveli,4,Sarran,165-inv,Bhu,15147-fac2,Serrhian,33.83365718,74.06053278
Health Facility,Azad Kashmir,Haveli,4,Sulmia,166-inv,Bhu,101-fac1,Hallen Shumali,33.926676,74.093121
Health Facility,Azad Kashmir,Haveli,4,Pahal,167-inv,Cd,15157-fac2,Halin Shamali,33.91046823,74.10266601
Health Facility,Azad Kashmir,Haveli,4,Shahkanja,168-inv,Cd,0-x,District,33.885,74.105
Health Facility,Azad Kashmir,Haveli,4,Cham,169-inv,Epi Center,15150-fac2,Changal,33.87024189,74.13215412
Health Facility,Azad Kashmir,Haveli,4,Andarsari,170-inv,Fap,0-x,District,33.885,74.105
Health Facility,Azad Kashmir,Haveli,4,Center Bunelangria,171-inv,Fap,0-x,District,33.885,74.105
Health Facility,Azad Kashmir,Haveli,4,Kundia Shakira,172-inv,Fap,0-x,District,33.885,74.105
Health Facility,Azad Kashmir,Haveli,4,Moji,173-inv,Fap,15162-fac2,Doba Bhedi,33.99019526,74.08532215
Health Facility,Azad Kashmir,Haveli,4,Noon Bagla,174-inv,Fap,0-x,District,33.885,74.105
Health Facility,Azad Kashmir,Haveli,4,Chakar,175-inv,Rhc,15150-fac2,Changal,33.87024189,74.13215412
Health Facility,Azad Kashmir,Haveli,4,Chakoti,177-inv,Rhc,0-x,District,33.885,74.105
Health Facility,Azad Kashmir,Haveli,4,Leepa,178-inv,Rhc,0-x,District,33.885,74.105
Health Facility,Azad Kashmir,Haveli,4,Sub Center Bala Bandi,182-inv,x,0-x,District,33.885,74.105
Health Facility,Azad Kashmir,Haveli,4,Sub Center Ghail Jubrrd,183-inv,x,0-x,District,33.885,74.105
Health Facility,Azad Kashmir,Haveli,4,Tehsil Store,184-inv,x,0-x,District,33.885,74.105
Health Facility,Azad Kashmir,Haveli,4,Hattian,185-inv,Thq,15156-fac2,Hallian,33.90780596,74.10781015
District,Azad Kashmir,Haveli,3,Hattian,186-inv,District Store,15156-fac2,Hallian,33.90780596,74.10781015
Health Facility,Azad Kashmir,Haveli,4,Behedi,200-inv,Bhu,15162-fac2,Doba Bhedi,33.99019526,74.08532215
Health Facility,Azad Kashmir,Kotli,4,Bhata Kot,203-inv,Bhu,0-x,District,33.4396,73.87195
Health Facility,Azad Kashmir,Kotli,4,Chanjel,204-inv,Bhu,0-x,District,33.4396,73.87195
Health Facility,Azad Kashmir,Kotli,4,Degwar,205-inv,Bhu,15317-fac2,Dispnesary Dhanwan,33.55767432,73.97932411
Health Facility,Azad Kashmir,Kotli,4,Gugdar,207-inv,Bhu,15390-fac2,Gagnarra,33.56724576,73.75253407
Health Facility,Azad Kashmir,Kotli,4,Hallon Shamali,210-inv,Bhu,0-x,District,33.4396,73.87195
Health Facility,Azad Kashmir,Kotli,4,Kala Moula,212-inv,Bhu,0-x,District,33.4396,73.87195
Health Facility,Azad Kashmir,Kotli,4,Tongari,213-inv,Bhu,0-x,District,33.4396,73.87195
Health Facility,Azad Kashmir,Kotli,4,Hillan,215-inv,Cd,15293-fac2,Hili Khan,33.51714123,73.89178373
Health Facility,Azad Kashmir,Kotli,4,Mundhar,217-inv,Cd,15334-fac2,Mandharter,33.43892452,74.11884408
Health Facility,Azad Kashmir,Kotli,4,Naga Nari,219-inv,Cd,0-x,District,33.4396,73.87195
Health Facility,Azad Kashmir,Kotli,4,Soli,220-inv,Cd,15199-fac2,Fauji Foundation Mobile Health Unit,33.51122377,73.91039907
Health Facility,Azad Kashmir,Kotli,4,Cherikot,222-inv,Fap,0-x,District,33.4396,73.87195
Health Facility,Azad Kashmir,Kotli,4,Khurshidabad,223-inv,Rhc,0-x,District,33.4396,73.87195
Health Facility,Azad Kashmir,Kotli,4,Kahutta,225-inv,Thq,15266-fac2,Khuiratta,33.35596234,74.0309281
District,Azad Kashmir,Kotli,3,Haveli,229-inv,District Store,15199-fac2,Fauji Foundation Mobile Health Unit,33.51122377,73.91039907
Health Facility,Azad Kashmir,Kotli,4,Anderla Kotera,234-inv,Bhu,15270-fac2,Andrala Katera,33.34201025,74.10054139
Health Facility,Azad Kashmir,Mirpur,4,Barali,235-inv,Bhu,15437-fac2,Ban Khurma,33.13203517,73.74782426
Health Facility,Azad Kashmir,Mirpur,4,Bhial,236-inv,Bhu,15437-fac2,Ban Khurma,33.13203517,73.74782426
Health Facility,Azad Kashmir,Mirpur,4,Changpur Khawas,237-inv,Bhu,0-x,District,33.2105,73.71365
Health Facility,Azad Kashmir,Mirpur,4,Choch,238-inv,Bhu,15404-fac2,Chattroh,33.281035,73.637238
Health Facility,Azad Kashmir,Mirpur,4,Chowki Mong,239-inv,Bhu,0-x,District,33.2105,73.71365
Health Facility,Azad Kashmir,Mirpur,4,Dabsi,240-inv,Bhu,15506-fac2,Chakswari,33.24657818,73.78387094
Health Facility,Azad Kashmir,Mirpur,4,Damas,242-inv,Bhu,15437-fac2,Ban Khurma,33.13203517,73.74782426
Health Facility,Azad Kashmir,Mirpur,4,Dandli,243-inv,Bhu,15413-fac2,Dadyal,33.34739,73.665249
Health Facility,Azad Kashmir,Mirpur,4,Darooti Mohra,244-inv,Bhu,0-x,District,33.2105,73.71365
Health Facility,Azad Kashmir,Mirpur,4,Dhanna,245-inv,Bhu,15511-fac2,Dallha Bajar,33.19497784,73.8113454
Health Facility,Azad Kashmir,Mirpur,4,Docia Jatan,246-inv,Bhu,0-x,District,33.2105,73.71365
Health Facility,Azad Kashmir,Mirpur,4,Dondi,247-inv,Bhu,15432-fac2,Bindi,33.36103053,73.65525827
Health Facility,Azad Kashmir,Mirpur,4,Goi,248-inv,Bhu,15434-fac2,Ghanair,33.43629798,73.68481246
Health Facility,Azad Kashmir,Mirpur,4,Gulpur,249-inv,Bhu,15500-fac2,Jail Mirpur,33.11283355,73.7488614
Health Facility,Azad Kashmir,Mirpur,4,Holar,250-inv,Bhu,15511-fac2,Dallha Bajar,33.19497784,73.8113454
Health Facility,Azad Kashmir,Mirpur,4,Jandrol,251-inv,Bhu,0-x,District,33.2105,73.71365
Health Facility,Azad Kashmir,Mirpur,4,Kajlani,252-inv,Bhu,0-x,District,33.2105,73.71365
Health Facility,Azad Kashmir,Mirpur,4,Kala Dub,253-inv,Bhu,0-x,District,33.2105,73.71365
Health Facility,Azad Kashmir,Mirpur,4,Karela,254-inv,Bhu,15519-fac2,Bangrila,33.16681255,73.87651552
Health Facility,Azad Kashmir,Mirpur,4,Khanka Koterra,255-inv,Bhu,0-x,District,33.2105,73.71365
Health Facility,Azad Kashmir,Mirpur,4,Killkallan,256-inv,Bhu,0-x,District,33.2105,73.71365
Health Facility,Azad Kashmir,Mirpur,4,Kokta,257-inv,Bhu,15424-fac2,Kathar,33.40417917,73.64094753
Health Facility,Azad Kashmir,Mirpur,4,Mathrani,258-inv,Bhu,0-x,District,33.2105,73.71365
Health Facility,Azad Kashmir,Mirpur,4,Mohra,259-inv,Bhu,15431-fac2,Mohra Malkan,33.32203001,73.65471775
Health Facility,Azad Kashmir,Mirpur,4,Phagwari,260-inv,Bhu,15506-fac2,Chakswari,33.24657818,73.78387094
Health Facility,Azad Kashmir,Mirpur,4,Plyat Saydain,261-inv,Bhu,0-x,District,33.2105,73.71365
Health Facility,Azad Kashmir,Mirpur,4,Qamroti,262-inv,Bhu,0-x,District,33.2105,73.71365
Health Facility,Azad Kashmir,Mirpur,4,Rajdhani,263-inv,Bhu,0-x,District,33.2105,73.71365
Health Facility,Azad Kashmir,Mirpur,4,Rajdhani Sohana,264-inv,Bhu,0-x,District,33.2105,73.71365
Health Facility,Azad Kashmir,Mirpur,4,Sairi,265-inv,Bhu,15510-fac2,Samwal Sharif,33.08098172,73.79840401
Health Facility,Azad Kashmir,Mirpur,4,Sandhara,266-inv,Bhu,0-x,District,33.2105,73.71365
Health Facility,Azad Kashmir,Mirpur,4,Sehrmandi,267-inv,Bhu,0-x,District,33.2105,73.71365
Health Facility,Azad Kashmir,Mirpur,4,Tarkundi,268-inv,Bhu,0-x,District,33.2105,73.71365
Health Facility,Azad Kashmir,Mirpur,4,Bari Ghora,269-inv,Cd,0-x,District,33.2105,73.71365
Health Facility,Azad Kashmir,Mirpur,4,Binpain,270-inv,Cd,15509-fac2,Bidder Bains,33.03358591,73.794434
Health Facility,Azad Kashmir,Mirpur,4,Dhanwan,271-inv,Cd,0-x,District,33.2105,73.71365
Health Facility,Azad Kashmir,Mirpur,4,Prahi,272-inv,Cd,15427-fac2,Sorakhi,33.3815548,73.62836057
Health Facility,Azad Kashmir,Mirpur,4,Ghian,273-inv,Cd,15434-fac2,Ghanair,33.43629798,73.68481246
Health Facility,Azad Kashmir,Mirpur,4,Hq Kotli,274-inv,Cd,0-x,District,33.2105,73.71365
Health Facility,Azad Kashmir,Mirpur,4,Juna,275-inv,Cd,15493-fac2,Bun Khurman,33.12038807,73.74784233
Health Facility,Azad Kashmir,Mirpur,4,Kailah,276-inv,Cd,15519-fac2,Bangrila,33.16681255,73.87651552
Health Facility,Azad Kashmir,Mirpur,4,Khore,277-inv,Cd,15437-fac2,Ban Khurma,33.13203517,73.74782426
Health Facility,Azad Kashmir,Mirpur,4,Panjerra,278-inv,Cd,0-x,District,33.2105,73.71365
Health Facility,Azad Kashmir,Mirpur,4,Plani,279-inv,Cd,15519-fac2,Bangrila,33.16681255,73.87651552
Health Facility,Azad Kashmir,Mirpur,4,Tarala,280-inv,Cd,15518-fac2,Dispnesary Bangrila,33.16505307,73.87399259
Health Facility,Azad Kashmir,Mirpur,4,Kotli,281-inv,Dhq Hosp,15514-fac2,Kanaili,33.23281051,73.83586168
Health Facility,Azad Kashmir,Mirpur,4,Anotri Sarhota,282-inv,Fap,0-x,District,33.2105,73.71365
Health Facility,Azad Kashmir,Mirpur,4,Bagaha,283-inv,Fap,15437-fac2,Ban Khurma,33.13203517,73.74782426
Health Facility,Azad Kashmir,Mirpur,4,Sarhuta Qummer,284-inv,Fap,0-x,District,33.2105,73.71365
Health Facility,Azad Kashmir,Mirpur,4,Chowk Saiban,285-inv,Rhc,0-x,District,33.2105,73.71365
Health Facility,Azad Kashmir,Mirpur,4,Khuiratta,286-inv,Rhc,0-x,District,33.2105,73.71365
Health Facility,Azad Kashmir,Mirpur,4,Nar,289-inv,Rhc,15437-fac2,Ban Khurma,33.13203517,73.74782426
Health Facility,Azad Kashmir,Mirpur,4,Sarsawa,290-inv,Rhc,15504-fac2,Pnidi Sabawal,33.06947189,73.76898975
Health Facility,Azad Kashmir,Mirpur,4,Tatta Pani,291-inv,Rhc,0-x,District,33.2105,73.71365
Health Facility,Azad Kashmir,Mirpur,4,Hosp,292-inv,Thq,15462-fac2,Wapda Hospital,33.113345,73.642002
Health Facility,Azad Kashmir,Mirpur,4,Charohi,295-inv,Thq Hosp,15404-fac2,Chattroh,33.281035,73.637238
Health Facility,Azad Kashmir,Mirpur,4,Nakyal,298-inv,Thq,15413-fac2,Dadyal,33.34739,73.665249
Health Facility,Azad Kashmir,Mirpur,4,Nakyal Tc,300-inv,Thq,0-x,District,33.2105,73.71365
District,Azad Kashmir,Mirpur,3,Kotli,301-inv,District Store,15514-fac2,Kanaili,33.23281051,73.83586168
Health Facility,Azad Kashmir,Mirpur,4,Adho Office Dadyal,322-inv,x,0-x,District,33.2105,73.71365
Health Facility,Azad Kashmir,Muzaffarabad,4,Badar Bance,332-inv,Bhu,0-x,District,34.3151,73.69
Health Facility,Azad Kashmir,Muzaffarabad,4,Bahari,333-inv,Bhu,15618-fac2,Anwar Sharif,34.28647622,73.52672516
Health Facility,Azad Kashmir,Muzaffarabad,4,Bangrila,334-inv,Bhu,128-fac1,Sangri Mera,0,0
