UID,Category,Sub_Cat,Gov_Pvt,Facility,Admin 3,Admin 2,Admin 1,Latitude,Longitude,Facility Type
1-fac2,General Physician,Clinic,Private,Shaeen Clinic,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.17073005,73.25897781,x
2-fac2,General Physician,Clinic,Private,Bano Clinic,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.16954017,73.25900839,x
3-fac2,General Physician,Clinic,Private,Mangal Poly Clinic,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.15743659,73.26333637,x
4-fac2,General Physician,Clinic,Private,Nusrat Mehmood Clinic,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.14785687,73.26289927,x
5-fac2,General Hospitals,Medical Facilities,Private,Altaf Hospital,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.14541532,73.218434,x
6-fac2,General Hospitals,Medical Facilities,Private,Hira Hospital,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.14437642,73.21619035,x
7-fac2,General Physician,Clinic,Private,Roohi Tabsamm Clinic,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.14616709,73.2158107,x
8-fac2,General Physician,Clinic,Private,Nargis Danish Clinic,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.1458492,73.21565463,x
9-fac2,Dental Clinic,Clinic,Private,Smile Dental Clinic,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.14933079,73.21237912,x
10-fac2,General Hospitals,Medical Facilities,Private,Rehmat Memorial Hospital,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.17012742,73.22516649,x
11-fac2,General Hospitals,Medical Facilities,Private,Nargis Arif Hospital,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.18739959,73.23924971,x
12-fac2,General Hospitals,Medical Facilities,Private,Jinnah Hospital,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.18741752,73.23847834,x
13-fac2,General Hospitals,Medical Facilities,Private,Margis Arif Hospital,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.18814082,73.23934097,x
14-fac2,General Hospitals,Medical Facilities,Private,Orush Hospital,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.19408391,73.23501876,x
15-fac2,General Physician,Clinic,Private,Rahat Un Nisa Clinic,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.19641432,73.23684817,x
16-fac2,General Physician,Clinic,Private,Zain Clinic,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.14578655,73.21944714,x
17-fac2,Medical Stores,Medical Services,Private,Shafiq Medical Center,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.19624441,73.23623247,x
18-fac2,General Hospitals,Medical Facilities,Private,Ruqia Hospital,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.19913376,73.23873731,x
19-fac2,Medical Stores,Medical Services,Private,Burj Al Dahar Medical Center,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.20439432,73.23977471,x
20-fac2,General Hospitals,Medical Facilities,Private,Ayub Medical Complex,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.20373946,73.23383939,x
21-fac2,General Hospitals,Medical Facilities,Private,Bach Christian Hospital,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.26437831,73.23535801,x
22-fac2,Medical Stores,Medical Services,Private,Shifa Health Center,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.15079701,73.31143901,x
23-fac2,Homeopathic,Clinic,Private,Homeo Clinic,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.12880297,73.34101362,x
24-fac2,General Physician,Clinic,Private,Majida Clinic,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.14045479,73.23278072,x
25-fac2,General Physician,Clinic,Private,Badar Clinic,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.16248942,73.25124377,x
26-fac2,Medical Stores,Medical Services,Private,Jinnah Pharmacy,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.18904051,73.23369261,x
27-fac2,Medical Stores,Medical Services,Private,Shifa Pharmacy,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.20276675,73.2390587,x
28-fac2,Medical Stores,Medical Services,Private,Azeem Pharmacy,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.2029465,73.23919738,x
29-fac2,Medical Stores,Medical Services,Private,Abbott Pharmacy,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.14599642,73.21551387,x
30-fac2,Medical Stores,Medical Services,Private,Saif Pharmacy,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.14778264,73.21297402,x
31-fac2,Medical Stores,Medical Services,Private,Medical Store,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.26430517,73.23588354,x
32-fac2,Medical Stores,Medical Services,Private,Wasif Medical Centre,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.15712292,73.23873647,x
33-fac2,Medical Stores,Medical Services,Private,Shah Medical Centre,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.14673935,73.22183866,x
34-fac2,Medical Stores,Medical Services,Private,Adil Medical Centre,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.14525205,73.21906284,x
35-fac2,Medical Stores,Medical Services,Private,Hazara Jannat Medical Centre,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.14467266,73.21666748,x
36-fac2,Medical Stores,Medical Services,Private,Bilal Medical Centre,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.14607596,73.21556665,x
37-fac2,Medical Stores,Medical Services,Private,Zarbat Medical Centre,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.14622295,73.21560276,x
38-fac2,General Hospitals,Medical Facilities,Private,Rehman Hospital & Zerbat Medical Centre,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.1445461,73.21123394,x
