ID,Admin 1,Province PCode,Admin 2,District PCode,Admin 3,Tehsil PCode,Facility,Health Facility Code,Type,,
41,Khyber Pakhtunkhwa,3,Haripur,322,Haripur,322001,Civil Hospital KTS,322055,CH�,,
42,Khyber Pakhtunkhwa,3,Haripur,322,Haripur,322001,BHU Tofkian,322038,BHU�,,
43,Khyber Pakhtunkhwa,3,Haripur,322,Ghazi,322002,BHU Brug,322006,BHU�,,
44,Khyber Pakhtunkhwa,3,Haripur,322,Ghazi,322002,BHU Gali Amazai,322013,BHU�,,
45,Khyber Pakhtunkhwa,3,Haripur,322,Ghazi,322002,BHU Bait Gali,322079,BHU�,,
46,Khyber Pakhtunkhwa,3,Haripur,322,Ghazi,322002,BHU Kaneerri,322084,BHU�,,
47,Khyber Pakhtunkhwa,3,Haripur,322,Ghazi,322002,RHC Ghazi,322059,RHC�,,
48,Khyber Pakhtunkhwa,3,Haripur,322,Ghazi,322002,CD Ghazi Hamlet,322041,CD�,,
49,Khyber Pakhtunkhwa,3,Haripur,322,Ghazi,322002,BHU Amgah,322001,BHU�,,
50,Khyber Pakhtunkhwa,3,Haripur,322,Ghazi,322002,BHU Kotehra,322023,BHU�,,
51,Khyber Pakhtunkhwa,3,Haripur,322,Ghazi,322002,BHU Kundi,322024,BHU�,,
52,Khyber Pakhtunkhwa,3,Haripur,322,Ghazi,322002,BHU Salamkhand,322035,BHU�,,
53,Khyber Pakhtunkhwa,3,Haripur,322,Ghazi,322002,RHC Nara Amazai,322085,RHC�,,
54,Khyber Pakhtunkhwa,3,Haripur,322,Ghazi,322002,RHC Sirikot,322063,RHC�,,
322,Balochistan,4,Jaffarabad,432,Soh Bat Pur,432004,Meher Ali,432065,CD,,
321,Balochistan,4,Jaffarabad,432,Soh Bat Pur,432004,Abdul Rasheed khoso,432064,CD,,
320,Balochistan,4,Jaffarabad,432,Soh Bat Pur,432004,Abdul Raouf,432063,CD,,
318,Balochistan,4,Jaffarabad,432,Soh Bat Pur,432004,Arz Muhammad Bugti,432061,CD,,
319,Balochistan,4,Jaffarabad,432,Soh Bat Pur,432004,Azam Khan Khoso,432062,CD,,
317,Balochistan,4,Jaffarabad,432,Soh Bat Pur,432004,Allah Waraya Khoso,432060,CD,,
316,Balochistan,4,Jaffarabad,432,Soh Bat Pur,432004,Naseebullah Khoso,432049,CD,,
315,Balochistan,4,Jaffarabad,432,Soh Bat Pur,432004,Baloo Pur,432045,CD,,
314,Balochistan,4,Jaffarabad,432,Soh Bat Pur,432004,Abdul Sattar,432042,CD,,
313,Balochistan,4,Jaffarabad,432,Soh Bat Pur,432004,Adil Bugti,432040,BHU,,
312,Balochistan,4,Jaffarabad,432,Soh Bat Pur,432004,Roshan Din Khoso,432039,BHU,,
311,Balochistan,4,Jaffarabad,432,Soh Bat Pur,432004,Sohbat Pur,432031,BHU,,
310,Balochistan,4,Jaffarabad,432,Soh Bat Pur,432004,Panhwar,432030,BHU,,
309,Balochistan,4,Jaffarabad,432,Soh Bat Pur,432004,Noor Muhammad Bugti,432029,BHU,,
308,Balochistan,4,Jaffarabad,432,Soh Bat Pur,432004,Murad Ali,432028,BHU,,
307,Balochistan,4,Jaffarabad,432,Soh Bat Pur,432004,Muhammad Ibrahim Gajani,432027,BHU,,
306,Balochistan,4,Jaffarabad,432,Soh Bat Pur,432004,Muhammad Amin Kandrani,432026,BHU,,
305,Balochistan,4,Jaffarabad,432,Soh Bat Pur,432004,Mehrab khan Nindwani,432025,BHU,,
304,Balochistan,4,Jaffarabad,432,Soh Bat Pur,432004,Malguzar,432024,BHU,,
303,Balochistan,4,Jaffarabad,432,Soh Bat Pur,432004,Jia Khan Khoso,432023,BHU,,
302,Balochistan,4,Jaffarabad,432,Soh Bat Pur,432004,Jhanda Talab,432022,BHU,,
301,Balochistan,4,Jaffarabad,432,Soh Bat Pur,432004,Dirghi,432021,BHU,,
300,Balochistan,4,Jaffarabad,432,Soh Bat Pur,432004,Ali Abad Golo,432020,BHU,,
299,Balochistan,4,Jaffarabad,432,Soh Bat Pur,432004,Adum Pur,432019,BHU,,
298,Balochistan,4,Jaffarabad,432,Soh Bat Pur,432004,Abdul Aziz Khoso,432018,BHU,,
296,Balochistan,4,Jaffarabad,432,Usta Muhammad,432003,MCH Centre,432082,MCH,,
295,Balochistan,4,Jaffarabad,432,Usta Muhammad,432003,Piyara khan Umrani,432059,CD,,
294,Balochistan,4,Jaffarabad,432,Usta Muhammad,432003,Peeralabad,432058,CD,,
293,Balochistan,4,Jaffarabad,432,Usta Muhammad,432003,Khan Pur,432057,Cd,,
292,Balochistan,4,Jaffarabad,432,Usta Muhammad,432003,Rustam Khan Jamali,432056,CD,,
291,Balochistan,4,Jaffarabad,432,Usta Muhammad,432003,Haji Shabir Umrani,432055,CD,,
290,Balochistan,4,Jaffarabad,432,Usta Muhammad,432003,Faizabad Jamali,432054,CD,,
289,Balochistan,4,Jaffarabad,432,Usta Muhammad,432003,Chutta Khan Jamali,432053,CD,,
288,Balochistan,4,Jaffarabad,432,Usta Muhammad,432003,Ali Hassan Jamali,432052,CD,,
287,Balochistan,4,Jaffarabad,432,Usta Muhammad,432003,Noor Muhammad Jamali,432041,BHU,,
286,Balochistan,4,Jaffarabad,432,Usta Muhammad,432003,Ghareebabad,432017,BHU,,
285,Balochistan,4,Jaffarabad,432,Usta Muhammad,432003,Haji Allah Dina Rind,432016,BHU,,
284,Balochistan,4,Jaffarabad,432,Usta Muhammad,432003,Ali Abad Jamali,432015,BHU,,
283,Balochistan,4,Jaffarabad,432,Usta Muhammad,432003,50 Beded Hospital,432009,Labour Hospital,,
282,Balochistan,4,Jaffarabad,432,Usta Muhammad,432003,Civil Hospital,432008,Civil Hospital,,
12577,Khyber Pakhtunkhwa,8,Khyber Agency,803,Landikotal,803001,BHU Kam Shalman,803031,BHU,,
12576,Khyber Pakhtunkhwa,8,Khyber Agency,803,Landikotal,803001,BHU Torkham,803021,BHU,,
279,Balochistan,4,Jaffarabad,432,Gandakha,432002, Dr Taj Muhammad Jamali,432089,Health Auxillary,,
277,Balochistan,4,Jaffarabad,432,Gandakha,432002,Noshki Jadeed,432079,CD,,
278,Balochistan,4,Jaffarabad,432,Gandakha,432002,MCH Centre Kandri,432086,MCH,,
276,Balochistan,4,Jaffarabad,432,Gandakha,432002,Muhammad Hassan Brohi,432078,CD,,
275,Balochistan,4,Jaffarabad,432,Gandakha,432002,Meva Khan,432077,CD,,
274,Balochistan,4,Jaffarabad,432,Gandakha,432002,Keher Kot,432076,CD,,
273,Balochistan,4,Jaffarabad,432,Gandakha,432002,Muhammad Ibrahim Jamali,432075,BHU,,
272,Balochistan,4,Jaffarabad,432,Gandakha,432002,Kandri,432074,CD,,
271,Balochistan,4,Jaffarabad,432,Gandakha,432002,Ghulam Muhammad Jamali,432073,CD,,
270,Balochistan,4,Jaffarabad,432,Gandakha,432002,Sibi Jadeed,432038,BHU,,
269,Balochistan,4,Jaffarabad,432,Gandakha,432002,Monder Kot,432037,BHU,,
268,Balochistan,4,Jaffarabad,432,Gandakha,432002,Gandakha,432036,BHU,,
267,Balochistan,4,Jaffarabad,432,Gandakha,432002,Chowki Jamali,432035,BHU,,
266,Balochistan,4,Jaffarabad,432,Gandakha,432002,Bagh Tail,432034,BHU,,
265,Balochistan,4,Jaffarabad,432,Gandakha,432002,Bagh Head,432033,BHU,,
264,Balochistan,4,Jaffarabad,432,Gandakha,432002,Ahmedabad,432032,BHU,,
263,Balochistan,4,Jaffarabad,432,Jaffarabad,432001,MCH Centre,432080,MCH,,
262,Balochistan,4,Jaffarabad,432,Jaffarabad,432001,Zulfiqarabad,432051,CD,,
261,Balochistan,4,Jaffarabad,432,Jaffarabad,432001,Sikandar shakh,432050,CD,,
260,Balochistan,4,Jaffarabad,432,Jaffarabad,432001,Chalgri,432048,CD,,
259,Balochistan,4,Jaffarabad,432,Jaffarabad,432001,Hafeezabad,432047,CD,,
258,Balochistan,4,Jaffarabad,432,Jaffarabad,432001,Javed Khoso,432046,CD,,
257,Balochistan,4,Jaffarabad,432,Jaffarabad,432001,Bachal Brohi,432044,CD,,
256,Balochistan,4,Jaffarabad,432,Jaffarabad,432001,Muhammad Azeem Magsi,432043,CD,,
255,Balochistan,4,Jaffarabad,432,Jaffarabad,432001,BHU Taj Pur Jamali,432014,BHU,,
254,Balochistan,4,Jaffarabad,432,Jaffarabad,432001,BHU Noor Pur,432013,BHU,,
253,Balochistan,4,Jaffarabad,432,Jaffarabad,432001,BHU Goth Allah Yar,432012,BHU,,
252,Balochistan,4,Jaffarabad,432,Jaffarabad,432001,BHU Cattale Fram,432011,BHU,,
251,Balochistan,4,Jaffarabad,432,Jaffarabad,432001,RHC Rojhan Jamali,43210,RHC,,
249,Balochistan,4,Jaffarabad,432,Jaffarabad,432001,TB Clinic D.A.Yar,432007,TB Clinic,,
248,Balochistan,4,Jaffarabad,432,Jaffarabad,432001,DHQ Hospital D.A.Yar,432006,DHQ Hospital,,
12575,Khyber Pakhtunkhwa,8,Khyber Agency,803,Landikotal,803001,CD Loi Shalman,803020,CD,,
247,Balochistan,4,Jaffarabad,432,Jaffarabad,432001,DHO H Office,432005,Admin,,
323,Balochistan,4,Jaffarabad,432,Soh Bat Pur,432004,Muhammad Ibrahim Khoso,432066,CD,,
324,Balochistan,4,Jaffarabad,432,Soh Bat Pur,432004,Hair din,432067,CD,,
325,Balochistan,4,Jaffarabad,432,Soh Bat Pur,432004,Jan Muhammad Khoso,432068,CD,,
326,Balochistan,4,Jaffarabad,432,Soh Bat Pur,432004,Khan Muhammad Khoso,432069,CD,,
327,Balochistan,4,Jaffarabad,432,Soh Bat Pur,432004,Manjhi Pur,432070,CD,,
328,Balochistan,4,Jaffarabad,432,Soh Bat Pur,432004,Naseer khan Khoso,432071,CD,,
329,Balochistan,4,Jaffarabad,432,Soh Bat Pur,432004,Noor Muhammad Jarwar,432072,CD,,
330,Balochistan,4,Jaffarabad,432,Soh Bat Pur,432004,Mir Hassan Khoso,432081,MCH,,
331,Balochistan,4,Jaffarabad,432,Soh Bat Pur,432004,Haji Jumal Bugti,432083,MCH,,
332,Balochistan,4,Jaffarabad,432,Soh Bat Pur,432004,Manjhi Pur,432084,MCH,,
333,Balochistan,4,Jaffarabad,432,Soh Bat Pur,432004,Rasool Bux Khoso,432085,MCH,,
334,Balochistan,4,Jaffarabad,432,Soh Bat Pur,432004,Hafiz Ahmed Jarwar,432087,Health Auxillary,,
335,Balochistan,4,Jaffarabad,432,Soh Bat Pur,432004,Sikander Jarwar,432088,Health Auxillary,,
8447,Punjab,1,Mianwali,830,Mianwali,2, THAMAYWALI,183033,BHU�,,
8446,Punjab,1,Mianwali,830,Mianwali,2, KALARI,183021,BHU�,,
8445,Punjab,1,Mianwali,830,Mianwali,2, CHAKRALA,183065,RHC�,,
836,Punjab,1,Bhakkar,181,Mankera,18103,Haiderabad,181031,BHU,,
835,Punjab,1,Bhakkar,181,Mankera,18103,Mahni,181033,BHU,,
834,Punjab,1,Bhakkar,181,Mankera,18103,Goharwala,181029,BHU,,
833,Punjab,1,Bhakkar,181,Mankera,18103,Daggar Kotli,181028,BHU,,
832,Punjab,1,Bhakkar,181,Mankera,18103,Karluwala,181082,BHU,,
831,Punjab,1,Bhakkar,181,Mankera,18103,Litten,181032,BHU,,
830,Punjab,1,Bhakkar,181,Mankera,18103,Chak # 73 / ML,181088,BHU,,
829,Punjab,1,Bhakkar,181,Mankera,18103,Chak # 67 / ML,181027,BHU,,
828,Punjab,1,Bhakkar,181,Mankera,18103,THQH Mankera,181059,THQ,,
12628,Khyber Pakhtunkhwa,3,Buner,42,Gagra,4203,RHC Sarqala,342003,RHC ,,
8443,Punjab,1,Mianwali,830,Mianwali,2, MARI INDUS,183024,BHU�,,
12629,Khyber Pakhtunkhwa,3,Buner,42,Gagra,4203,BHU Bangirai,342017,BHU ,,
8441,Punjab,1,Mianwali,830,Mianwali,2, DAUD KHEL,183066,RHC�,,
8442,Punjab,1,Mianwali,830,Mianwali,2, PAKI SHAH MARDAN,183029,BHU�,,
12633,Khyber Pakhtunkhwa,3,Buner,42,Gagra,4203,CD Amnawar,342028,CD ,,
12610,Khyber Pakhtunkhwa,3,Buner,42,Dagar,4201,BHU Dokada,342008,BHU ,,
12611,Khyber Pakhtunkhwa,3,Buner,42,Dagar,4201,BHU Nanser,342015,BHU ,,
12612,Khyber Pakhtunkhwa,3,Buner,42,Dagar,4201,CD Anghapur,342021,CD ,,
12613,Khyber Pakhtunkhwa,3,Buner,42,Dagar,4201,CD Bagra,342022,CD ,,
12627,Khyber Pakhtunkhwa,3,Buner,42,Mandan,4202,CH Chamla,342032,CH ,,
819,Punjab,1,Bhakkar,181,Daryakhan,18104,Kaath,181118,GD,,
12626,Khyber Pakhtunkhwa,3,Buner,42,Mandan,4202,RHC Nagrai,342025,RHC ,,
817,Punjab,1,Bhakkar,181,Daryakhan,18104,Hassan Shah,181030,BHU,,
816,Punjab,1,Bhakkar,181,Daryakhan,18104,Chak # 9/TDA,181084,BHU,,
815,Punjab,1,Bhakkar,181,Daryakhan,18104,Jhammat Shumali,181024,BHU,,
814,Punjab,1,Bhakkar,181,Daryakhan,18104,Barranga,181020,BHU,,
813,Punjab,1,Bhakkar,181,Daryakhan,18104,Barkatwal,181001,BHU,,
812,Punjab,1,Bhakkar,181,Daryakhan,18104,Daggar Qureshi,181083,BHU,,
811,Punjab,1,Bhakkar,181,Daryakhan,18104,Kohawar Kalan,181009,BHU,,
810,Punjab,1,Bhakkar,181,Daryakhan,18104,Dullewala,181065,RHC,,
809,Punjab,1,Bhakkar,181,Daryakhan,18104,THQH Daryakhan,181120,THQ,,
8435,Punjab,1,Mianwali,830,Mianwali,2,HUSSAIN WALA,183104,BHU�,,
12617,Khyber Pakhtunkhwa,3,Buner,42,Dagar,4201,RHC Jowar,342038,RHC ,,
8434,Punjab,1,Mianwali,830,Mianwali,2, MIANWALI,183055,DHQ�,,
12618,Khyber Pakhtunkhwa,3,Buner,42,Dagar,4201,Leprosy Clinic Salarzi  Jowar,342048,Leprosy Clinic ,,
12616,Khyber Pakhtunkhwa,3,Buner,42,Dagar,4201,Leprosy Clinic Pirbaba,342035,Leprosy Clinic ,,
8432,Punjab,1,Mianwali,830,IssaKheel,1, GANDA,183121,BHU�,,
8429,Punjab,1,Mianwali,830,IssaKheel,1, HOSPITAL KALABAGH,183053,THQ�,,
8430,Punjab,1,Mianwali,830,IssaKheel,1,TABBISAR,183063,RHC�,,
8427,Punjab,1,Mianwali,830,IssaKheel,1, VANJAREE,183097,BHU�,,
8428,Punjab,1,Mianwali,830,IssaKheel,1, CHAPPRI,183120,BHU�,,
12608,Khyber Pakhtunkhwa,3,Buner,42,Dagar,4201,BHU Nawakalay,342006,BHU ,,
8425,Punjab,1,Mianwali,830,IssaKheel,1, TRAG,183064,RHC�,,
12609,Khyber Pakhtunkhwa,3,Buner,42,Dagar,4201,BHU Toorwarsak,342007,BHU ,,
8423,Punjab,1,Mianwali,830,IssaKheel,1, MITHA KHATTAK,183006,BHU�,,
8424,Punjab,1,Mianwali,830,IssaKheel,1,SULTAN KHEL,183075,BHU�,,
793,Punjab,1,Bhakkar,181,Bhakkar,18101,Khansar,181008,BHU,,
792,Punjab,1,Bhakkar,181,Bhakkar,18101,Sarai Muhajir,181017,BHU,,
791,Punjab,1,Bhakkar,181,Bhakkar,18101,Notak,181014,BHU,,
790,Punjab,1,Bhakkar,181,Bhakkar,18101,MuslimKot,181080,BHU,,
789,Punjab,1,Bhakkar,181,Bhakkar,18101,Dhandlah,181006,BHU,,
788,Punjab,1,Bhakkar,181,Bhakkar,18101,Pir Ashab,181015,BHU,,
787,Punjab,1,Bhakkar,181,Bhakkar,18101,Mullanwali,181013,BHU,,
786,Punjab,1,Bhakkar,181,Bhakkar,18101,Sial,181018,BHU,,
785,Punjab,1,Bhakkar,181,Bhakkar,18101,Yousaf Shah,181019,BHU,,
784,Punjab,1,Bhakkar,181,Bhakkar,18101,Daggar Rethas,181005,BHU,,
783,Punjab,1,Bhakkar,181,Bhakkar,18101,Katchi Shahani,81007,BHU,,
782,Punjab,1,Bhakkar,181,Bhakkar,18101,Mahnaywala,181085,BHU,,
781,Punjab,1,Bhakkar,181,Bhakkar,18101,Kotla Jam,181010,BHU,,
780,Punjab,1,Bhakkar,181,Bhakkar,18101,Chuni Shumali,181003,BHU,,
779,Punjab,1,Bhakkar,181,Bhakkar,18101,RHC Behal,181063,RHC,,
778,Punjab,1,Bhakkar,181,Bhakkar,18101,DHQH Bhakkar,181056,DHQ,,
842,Punjab,1,Bhakkar,181,Kallurkot,18102,THQH Kallurkot,181058,THQ,,
843,Punjab,1,Bhakkar,181,Kallurkot,18102,Jandanwala,181066,RHC,,
844,Punjab,1,Bhakkar,181,Kallurkot,18102,Basti Mai Roshan,181002,BHU,,
845,Punjab,1,Bhakkar,181,Kallurkot,18102,Maibal,181012,BHU,,
846,Punjab,1,Bhakkar,181,Kallurkot,18102,Daggar Noon,181004,BHU,,
847,Punjab,1,Bhakkar,181,Kallurkot,18102,Saeed Wala,181026,BHU,,
848,Punjab,1,Bhakkar,181,Kallurkot,18102,Hassan Wala,181023,BHU,,
849,Punjab,1,Bhakkar,181,Kallurkot,18102,Jahan wala,181086,BHU,,
850,Punjab,1,Bhakkar,181,Kallurkot,18102,Fazil,181022,BHU,,
851,Punjab,1,Bhakkar,181,Kallurkot,18102,Noora Sharif,181025,BHU,,
852,Punjab,1,Bhakkar,181,Kallurkot,18102,Shehadan,181087,BHU,,
853,Punjab,1,Bhakkar,181,Kallurkot,18102,Chak # 63/DB,181021,BHU,,
8422,Punjab,1,Mianwali,830,IssaKheel,1,KALLUR SHARIF,183003,BHU�,,
8421,Punjab,1,Mianwali,830,IssaKheel,1, MASEET WALA,183122,BHU�,,
8420,Punjab,1,Mianwali,830,IssaKheel,1, KUNDAL,183004,BHU�,,
8419,Punjab,1,Mianwali,830,IssaKheel,1, HOSPITAL ISA KHEL,183054,THQ�,,
8418,Punjab,1,Bhakkar,181,Mankera,18101,Katchi Shahani,181007,BHU,,
8417,Khyber Pakhtunkhwa,3,Haripur,322,Haripur,322001,CD Rehana,322047,CD,,
8416,Punjab,1,Bhakkar,181,Daryakhan,18104,Punjgrain,181016,BHU,,
862,Punjab,1,Bhakkar,181,Kallurkot,18102,Chak # 57/DB,181077,SHC,,
9713,Sindh,2,Shaheed Benazirabad,243,Kazi Ahmed,24304,BHU Ghulam Mohammad Jamali,243010,BHU,,
9712,Sindh,2,Shaheed Benazirabad,243,Sakrand,24303,BHU Khabar Lakhmir,243012,BHU,,
9711,Sindh,2,Shaheed Benazirabad,243,Nawabshah,24301,BHU Khair Shah,243013,BHU,,
9710,Sindh,2,Shaheed Benazirabad,243,Sakrand,24303,BHU Dino Shah,243014,BHU,,
9709,Sindh,2,Shaheed Benazirabad,243,Sakrand,24303,BHU Hamal Fakir,243015,BHU,,
9708,Sindh,2,Shaheed Benazirabad,243,Sakrand,24303,BHU Hassan Jamali,243016,BHU,,
9707,Sindh,2,Shaheed Benazirabad,243,Sakrand,24303,BHU Mari Jalbani,243017,BHU,,
9706,Sindh,2,Shaheed Benazirabad,243,Sakrand,24303,RHC Mehrab pur0244317037,243018,RHC,,
9705,Sindh,2,Shaheed Benazirabad,243,Kazi Ahmed,24304,BHU Bado Mahar,243019,BHU,,
9704,Sindh,2,Shaheed Benazirabad,243,Sakrand,24303,BHU Mohammad Khan Magsi,243020,BHU,,
9703,Sindh,2,Shaheed Benazirabad,243,Kazi Ahmed,24304,BHU Ramzan Rahu,243021,BHU,,
9702,Sindh,2,Shaheed Benazirabad,243,Sakrand,24303,BHU Shamil Uner,243022,BHU,,
9701,Sindh,2,Shaheed Benazirabad,243,Sakrand,24303,BHU Sukhio Manahejo,243022,BHU,,
9700,Sindh,2,Shaheed Benazirabad,243,Kazi Ahmed,24304,GD Manharo,243023,GD,,
9699,Sindh,2,Shaheed Benazirabad,243,Dour,24302,RHC Bandhi0244451023,243024,RHC,,
9698,Sindh,2,Shaheed Benazirabad,243,Nawabshah,24301,GD Brohi Cotton Factory,243025,GD,,
9697,Sindh,2,Shaheed Benazirabad,243,Dour,24302,GD Ghazi Khan Bhurgri,243026,GD,,
9696,Sindh,2,Shaheed Benazirabad,243,Sakrand,24303,BHU Majeed Keerio,243027,BHU,,
9695,Sindh,2,Shaheed Benazirabad,243,Sakrand,24303,GD Khadhar,243028,GD,,
10173,Khyber Pakhtunkhwa,8,Mohmand,802,Ekkaghund,802001,RHC Ekkaghund,802001,RHC,,
9694,Sindh,2,Shaheed Benazirabad,243,Sakrand,24303,Taluka Hospital Sakrand     ,243029,THQ,,
9693,Sindh,2,Shaheed Benazirabad,243,Dour,24302,BHU 60 Mile,243030,BHU,,
9692,Sindh,2,Shaheed Benazirabad,243,Nawabshah,24301,MCH Manuabad                   ,243031,MCH,,
9691,Sindh,2,Shaheed Benazirabad,243,Kazi Ahmed,24304,RHC Kazi Ahmed0244321023  ,243032,RHC,,
9690,Sindh,2,Shaheed Benazirabad,243,Kazi Ahmed,24304,RHC Shahpur Jahania,243033,RHC,,
9689,Sindh,2,Shaheed Benazirabad,243,Dour,24302,RHC Chack NO:3,243034,RHC,,
9688,Sindh,2,Shaheed Benazirabad,243,Dour,24302,RHC Daur0244325431,243035,RHC,,
9687,Sindh,2,Shaheed Benazirabad,243,Sakrand,24303,RHC  Mahar Ali Jamali              ,243036,RHC,,
9686,Sindh,2,Shaheed Benazirabad,243,Nawabshah,24301,PMCH Nawabshah,243038,Teaching Hospital,,
9685,Sindh,2,Shaheed Benazirabad,243,Sakrand,24303,BHU Karam Jamali,243039,BHU,,
9684,Sindh,2,Shaheed Benazirabad,243,Dour,24302,BHU Karim Bux Dahri,243040,BHU,,
9683,Sindh,2,Shaheed Benazirabad,243,Dour,24302,GD Jhoro Shar,243041,GD,,
9682,Sindh,2,Shaheed Benazirabad,243,Dour,24302,GD Soomar Korai,243042,GD,,
9681,Sindh,2,Shaheed Benazirabad,243,Nawabshah,24301,BHU Karam Ali Jamali  ,243043,BHU,,
9680,Sindh,2,Shaheed Benazirabad,243,Kazi Ahmed,24304,BHU Nawab Wali Mohammad,243044,BHU,,
9678,Sindh,2,Shaheed Benazirabad,243,Kazi Ahmed,24304,BHU Moqeem Dahri,243048,BHU,,
9679,Sindh,2,Shaheed Benazirabad,243,Kazi Ahmed,24304,BHU Kharr,243047,BHU,,
9677,Sindh,2,Shaheed Benazirabad,243,Kazi Ahmed,24304,BHU Kot Maqbool Shah,243049,BHU,,
9676,Sindh,2,Shaheed Benazirabad,243,Sakrand,24303,GD Kalay Bux Rind,243050,GD,,
9675,Sindh,2,Shaheed Benazirabad,243,Sakrand,24303,GD Agriculture Form,243051,GD,,
9674,Sindh,2,Shaheed Benazirabad,243,Sakrand,24303,GD Ganwar Mahar,243052,GD,,
9673,Sindh,2,Shaheed Benazirabad,243,Sakrand,24303,BHU Jalalani,243059,BHU,,
9672,Sindh,2,Shaheed Benazirabad,243,Sakrand,24303,GD Qaisar khan chandio,243060,GD,,
9671,Sindh,2,Shaheed Benazirabad,243,Dour,24302,GD Dorai Mahar,243070,GD,,
9670,Sindh,2,Shaheed Benazirabad,243,Sakrand,24303,BHU Punhal Khan Chandio,243071,BHU,,
9669,Sindh,2,Shaheed Benazirabad,243,Sakrand,24303,GD Rahimo Keerio,243074,GD,,
